date,week,animal-id,genotype,weight,glucose,sex,,,
2/9,18,201012-17,E33,50.00,,F,,,
2/9,18,201012-18,E33,35.00,,F,,,
2/9,18,201012-19,E33,43.00,,F,,,
2/9,18,201012-20,E33,54.00,,F,,,
2/9,18,201012-21,E33,50.00,,F,,,
2/9,18,201012-22,E33,53.00,,M,,,
2/9,18,201012-23,E33,50.00,,M,,,
2/9,18,201012-24,E33,47.00,,M,,,
2/9,18,201012-25,E33,43.00,,M,,,
2/9,18,201012-26,E33,54.00,,M,,,
2/9,18,201012-27,E33,44.00,,M,,,
2/15,19,201012-1,E4HN,40.00,,M,,,
2/15,19,201012-2,E4HN,36.00,,M,,,
2/15,19,201012-3,E4HN,49.00,,M,,,
2/15,19,201012-4,E4HN,42.00,,F,,,
2/15,19,201012-5,E4HN,40.00,,F,,,
2/15,19,201012-6,E4HN,43.00,,F,,,
2/15,19,201012-7,E4HN,36.00,,F,,,
2/15,19,201012-8,E4HN,48.00,,F,,,
2/15,19,201012-9,E4HN,36.00,,F,,,
2/15,19,201012-10,E4HN,38.00,,F,,,
2/15,19,201012-11,E3HN,46.00,,F,,,
2/15,19,201012-12,E3HN,41.00,,F,,,
2/15,19,201012-13,E3HN,32.00,,M,,,
2/15,19,201012-14,E3HN,,,M,,,
2/15,19,201012-15,E33,42.00,,F,,,
2/15,19,201012-16,E33,40.00,,F,,,
2/15,19,201012-17,E33,50.00,,F,,,
2/15,19,201012-18,E33,36.00,,F,,,
2/15,19,201012-19,E33,43.00,,F,,,
2/15,19,201012-20,E33,55.00,,F,,,
2/15,19,201012-21,E33,50.00,,F,,,
2/15,19,201012-22,E33,53.00,,M,,,
2/15,19,201012-23,E33,50.00,,M,,,
2/15,19,201012-24,E33,48.00,,M,,,
2/15,19,201012-25,E33,43.00,,M,,,
2/15,19,201012-26,E33,56.00,,M,,,
2/15,19,201012-27,E33,47.00,,M,,,
2/22,20,201012-1,E4HN,40.00,,M,,,
2/22,20,201012-2,E4HN,36.00,,M,,,
2/22,20,201012-3,E4HN,48.00,,M,,,
2/22,20,201012-4,E4HN,44.00,,F,,,
2/22,20,201012-5,E4HN,44.00,,F,,,
2/22,20,201012-6,E4HN,45.00,,F,,,
2/22,20,201012-7,E4HN,37.00,,F,,,
2/22,20,201012-8,E4HN,48.00,,F,,,
2/22,20,201012-9,E4HN,37.00,,F,,,
2/22,20,201012-10,E4HN,39.00,,F,,,
