Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,210222_1,E3HN_F,E,Day1,1,MWM_150,3/1/2021,60.0,11.687,SW,0.195,16.1,3.583,0.223,14.1,2.897,0.205,17.1,3.177,0.186,12.7,2.029,0.0,0.160,,,31.0,4.909,0.159,Control
2,210222_2,E3HN_F,E,Day1,1,MWM_150,3/1/2021,21.6,3.427,NW,0.158,0.0,0.000,,14.5,2.279,0.157,0.0,0.000,,7.1,1.148,13.8,0.162,2.888,17.6,7.0,0.722,0.104,Control
3,210222_3,E3HN_M,F,Day1,1,MWM_150,3/1/2021,60.0,9.498,SE,0.158,0.0,0.000,,4.1,0.580,0.143,7.1,1.141,0.162,48.9,7.777,1.5,0.159,,,52.5,8.289,0.158,Control
4,210222_4,E3HN_M,F,Day1,1,MWM_150,3/1/2021,40.4,6.306,SE,0.156,15.0,2.711,0.181,8.9,1.519,0.171,3.1,0.473,0.151,13.4,1.603,22.2,0.120,6.228,36.4,13.9,1.783,0.128,Control
5,210222_5,E3HN_M,F,Day1,1,MWM_150,3/1/2021,5.9,0.371,NW,0.063,0.0,0.000,,0.7,0.044,0.063,0.0,0.000,,5.2,0.326,0.7,0.063,0.337,1.8,0.0,0.000,,Control
6,210222_6,E3HN_M,F,Day1,1,MWM_150,3/1/2021,21.5,4.808,NW,0.223,0.0,0.000,,7.9,1.804,0.230,0.0,0.000,,13.7,3.004,1.1,0.220,3.731,17.5,8.2,1.510,0.183,Control
7,210222_7,E33_F,B,Day1,1,MWM_150,3/1/2021,60.0,11.196,SW,0.187,17.9,3.178,0.178,19.1,3.971,0.208,10.5,1.940,0.185,12.5,2.107,0.0,0.168,,,40.1,6.396,0.160,Control
8,210222_8,E33_F,B,Day1,1,MWM_150,3/1/2021,52.2,13.038,SW,0.250,2.5,0.779,0.307,13.5,3.574,0.265,15.4,4.193,0.273,20.9,4.492,0.0,0.215,12.958,48.2,18.5,4.054,0.219,Control
9,210222_9,E33_F,B,Day1,1,MWM_150,3/1/2021,60.0,11.820,SE,0.197,35.7,7.190,0.201,20.0,3.787,0.189,4.2,0.844,0.200,0.0,0.000,,,,,39.9,6.932,0.174,Control
10,210222_10,E33_F,B,Day1,1,MWM_150,3/1/2021,9.3,1.144,SW,0.123,0.0,0.000,,0.0,0.000,,0.9,0.158,0.170,8.3,0.986,0.0,0.118,0.934,5.2,0.0,0.000,,Control
11,210222_11,E33_F,B,Day1,1,MWM_150,3/1/2021,8.3,2.095,SW,0.252,0.0,0.000,,1.2,0.267,0.217,1.6,0.529,0.324,5.5,1.299,0.0,0.238,1.095,4.2,0.0,0.000,,Control
12,210222_12,E33_F,B,Day1,1,MWM_150,3/1/2021,60.0,12.105,SW,0.202,0.0,0.000,,22.4,4.350,0.194,11.4,2.137,0.187,26.2,5.619,0.0,0.214,,,47.6,9.262,0.194,Control
13,210222_13,E33_M,A,Day1,1,MWM_150,3/1/2021,60.0,9.568,SW,0.159,6.2,1.178,0.191,18.9,2.898,0.154,14.2,2.334,0.165,20.8,3.158,0.0,0.152,9.530,56.3,43.5,6.752,0.155,Control
14,210222_14,E33_M,A,Day1,1,MWM_150,3/1/2021,6.5,0.459,SW,0.070,0.0,0.000,,0.0,0.000,,0.0,0.000,,6.5,0.459,0.0,0.070,0.423,2.5,0.0,0.000,,Control
15,210222_15,E33_M,A,Day1,1,MWM_150,3/1/2021,60.0,10.278,SW,0.171,16.3,2.590,0.159,37.7,6.746,0.179,0.0,0.000,,5.9,0.943,0.0,0.159,,,38.1,6.255,0.164,Control
16,210222_16,E22_M,C,Day1,1,MWM_150,3/1/2021,7.8,1.406,SW,0.181,0.5,0.133,0.279,0.9,0.271,0.302,0.0,0.000,,6.4,1.002,0.0,0.157,0.635,3.7,0.0,0.000,,Control
17,210222_17,E22_F,D,Day1,1,MWM_150,3/1/2021,60.0,12.562,SE,0.209,6.7,1.537,0.230,12.9,2.835,0.219,26.6,5.157,0.194,13.8,3.033,2.8,0.220,,,31.3,5.557,0.178,Control
18,210222_1,E3HN_F,E,Day1,2,MWM_150,3/1/2021,60.0,11.898,NE,0.198,22.6,4.138,0.183,10.5,2.108,0.201,13.9,2.905,0.209,13.0,2.746,9.9,0.211,,,15.6,2.880,0.185,Control
19,210222_2,E3HN_F,E,Day1,2,MWM_150,3/1/2021,60.0,11.406,NE,0.190,32.7,5.970,0.182,18.5,3.791,0.205,0.0,0.000,,8.8,1.646,30.4,0.188,,,32.8,6.125,0.187,Control
20,210222_3,E3HN_M,F,Day1,2,MWM_150,3/1/2021,42.2,6.524,NE,0.154,5.5,0.671,0.122,10.6,1.766,0.166,7.0,1.316,0.187,19.1,2.771,12.5,0.145,6.406,38.2,22.1,3.771,0.171,Control
21,210222_4,E3HN_M,F,Day1,2,MWM_150,3/1/2021,60.0,9.458,NE,0.158,31.4,4.924,0.157,11.9,1.780,0.150,16.7,2.754,0.164,0.0,0.000,,,,,32.3,4.051,0.125,Control
22,210222_5,E3HN_M,F,Day1,2,MWM_150,3/1/2021,60.0,9.837,NE,0.164,24.1,3.067,0.127,21.5,3.960,0.184,3.4,0.569,0.166,11.0,2.242,22.9,0.204,,,32.3,4.500,0.139,Control
23,210222_6,E3HN_M,F,Day1,2,MWM_150,3/1/2021,60.0,11.992,NE,0.200,23.3,4.272,0.184,12.4,2.570,0.208,9.8,2.082,0.212,14.6,3.069,22.0,0.211,,,38.2,7.450,0.195,Control
24,210222_7,E33_F,B,Day1,2,MWM_150,3/1/2021,23.5,4.341,NE,0.185,3.5,0.666,0.193,1.7,0.374,0.224,10.1,2.259,0.223,8.2,1.042,2.9,0.127,4.264,19.4,10.9,2.235,0.205,Control
25,210222_8,E33_F,B,Day1,2,MWM_150,3/1/2021,8.5,1.182,NW,0.140,0.0,0.000,,1.2,0.322,0.266,0.0,0.000,,7.2,0.860,1.2,0.119,1.043,4.4,1.6,0.258,0.164,Control
26,210222_9,E33_F,B,Day1,2,MWM_150,3/1/2021,60.0,14.065,NE,0.234,18.0,4.108,0.228,10.7,2.402,0.224,12.9,3.304,0.256,18.3,4.251,6.4,0.232,,,30.6,7.022,0.230,Control
27,210222_10,E33_F,B,Day1,2,MWM_150,3/1/2021,60.0,11.815,SW,0.197,32.4,5.893,0.182,17.9,3.980,0.222,6.9,1.396,0.202,2.8,0.545,0.0,0.197,,,32.2,5.842,0.182,Control
28,210222_11,E33_F,B,Day1,2,MWM_150,3/1/2021,60.0,12.105,NE,0.202,22.0,4.626,0.210,10.8,2.204,0.204,14.4,2.977,0.207,12.7,2.298,42.6,0.180,,,45.6,8.868,0.195,Control
