Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
1,220905_1,E44_M_18month_HFD,A,Day1,1,MWM_150,9/12/22,60,9.608,0.16,35,5.336,0.152,17,2.75,0.162,6.8,1.235,0.183,1.2,0.24,0.206,,,22.8,3.764,0.165,HFD
2,220905_2,E44_F_18month_HFD,C,Day1,1,MWM_150,9/12/22,60,10.921,0.182,3.2,0.586,0.185,25.5,4.73,0.185,6.6,1.278,0.193,24.7,4.326,0.175,,,27,4.653,0.173,HFD
3,220905_3,E44_M_18month_HFD,A,Day1,1,MWM_150,9/12/22,60,10.992,0.183,0.5,0.104,0.208,11.4,2.225,0.195,24.8,3.726,0.15,23.3,4.938,0.212,,,39.8,6.858,0.172,HFD
4,220905_4,E3HN_M_6month_Control,I,Day1,1,MWM_150,9/12/22,60,11.769,0.196,32.8,5.784,0.176,9.5,2.093,0.22,10.8,2.439,0.225,6,1.27,0.21,,,36.4,6.158,0.169,Control
5,220905_5,E3HN_M_6month_Control,I,Day1,1,MWM_150,9/12/22,51.4,10.075,0.196,0,0,,1.2,0.293,0.237,26.8,5.716,0.213,23.3,4.066,0.174,10.075,47.4,18.8,3.145,0.167,Control
6,220905_6,E3HN_M_6month_Control,I,Day1,1,MWM_150,9/12/22,5.6,0.793,0.142,0,0,,0,0,,0,0,,5.6,0.793,0.142,0.304,1.5,0.9,0.181,0.207,Control
7,220905_7,E3HN_M_6month_Control,I,Day1,1,MWM_150,9/12/22,60,10.771,0.18,27.2,5.007,0.184,0,0,,30.4,5.218,0.172,2.1,0.546,0.264,,,46.3,7.693,0.166,Control
8,220905_8,E3HN_M_6month_Control,I,Day1,1,MWM_150,9/12/22,12,2.142,0.179,1,0.282,0.282,0.3,0.054,0.196,4.7,0.889,0.189,6,0.917,0.153,1.631,7.9,0,0,,Control
9,220905_9,E3HN_M_6month_Control,I,Day1,1,MWM_150,9/12/22,60,12.104,0.202,18.4,3.378,0.184,7.8,1.588,0.204,22.5,4.821,0.214,11.2,2.272,0.203,,,23.2,3.741,0.161,Control
10,220905_10,E2HN_M_18month_Control,B,Day1,1,MWM_150,9/12/22,19.8,3.199,0.161,0,0,,2.1,0.503,0.243,2.2,0.574,0.265,15.6,2.122,0.136,3.199,15.8,4.2,0.931,0.222,Control
11,220905_11,E2HN_M_18month_Control,B,Day1,1,MWM_150,9/12/22,7.7,0.96,0.125,0,0,,0,0,,0,0,,7.7,0.96,0.125,0.873,3.6,0,0,,Control
12,220905_12,E2HN_M_18month_Control,B,Day1,1,MWM_150,9/12/22,60,11.003,0.183,22.9,4.274,0.187,9.9,1.573,0.159,18.7,3.584,0.192,8.6,1.573,0.183,,,30.6,4.99,0.163,Control
13,220905_13,E33_F_6month_Control,G,Day1,1,MWM_150,9/12/22,16.5,3.124,0.19,0.4,0.161,0.371,0.6,0.117,0.206,4.1,1.241,0.305,11.4,1.606,0.141,2.996,12.4,4.3,0.499,0.117,Control
14,220905_14,E33_F_6month_Control,G,Day1,1,MWM_150,9/12/22,35.9,8.003,0.223,11.3,2.772,0.245,10.4,2.689,0.259,0,0,,14.2,2.542,0.179,7.916,31.8,21.7,5.258,0.243,Control
15,220905_15,E33_F_6month_Control,G,Day1,1,MWM_150,9/12/22,60,15.882,0.265,9.6,2.582,0.27,4.7,1.282,0.275,29.4,8.036,0.274,16.4,3.981,0.243,,,33.3,8.349,0.251,Control
